,id_mission,id_report,id_labdoc,id_trace,n_users,teacher,n_tokens,n_segments,eqc,coec,eqc_low,eqc_mid,eqc_high,eqc_membership,eqc_degree,coec_low,coec_mid,coec_high,coec_membership,coec_degree
40195,521,42277,418316,7018523,2,0,100,7,0.16,0.17,0.65,0.35,0.0,eqc_low,0.65,0.63,0.37,0.0,coec_low,0.63
40196,521,42277,417663,7011540,2,0,203,22,0.64,0.24,0.0,0.7,0.3,eqc_mid,0.7,0.47,0.53,0.0,coec_mid,0.53
40197,521,42277,418319,7012179,2,0,71,2,0.48,0.48,0.02,0.91,0.06,eqc_mid,0.91,0.02,0.91,0.06,coec_mid,0.91
40198,521,46442,471723,8216831,3,0,275,21,0.04,0.04,0.91,0.09,0.0,eqc_low,0.91,0.91,0.09,0.0,coec_low,0.91
40199,521,46442,472145,8222891,2,0,119,9,0.86,0.25,0.0,0.35,0.65,eqc_high,0.65,0.45,0.55,0.0,coec_mid,0.55
40200,521,46442,472053,8220017,3,0,605,32,0.0,0.0,1.0,0.0,0.0,eqc_low,1.0,1.0,0.0,0.0,coec_low,1.0
40201,521,28753,265838,4183287,2,0,437,17,0.0,0.0,1.0,0.0,0.0,eqc_low,1.0,1.0,0.0,0.0,coec_low,1.0
40202,521,28753,266050,4183045,2,0,228,12,0.58,0.09,0.0,0.79,0.21,eqc_mid,0.79,0.8,0.2,0.0,coec_low,0.8
40203,521,28753,265626,4177516,3,0,249,18,0.09,0.08,0.8,0.2,0.0,eqc_low,0.8,0.82,0.18,0.0,coec_low,0.82
40204,521,28753,265999,4183155,2,0,238,15,0.36,0.05,0.2,0.8,0.0,eqc_mid,0.8,0.89,0.11,0.0,coec_low,0.89
40205,521,28764,266254,4189715,2,0,1,2,0.0,0.0,1.0,0.0,0.0,eqc_low,1.0,1.0,0.0,0.0,coec_low,1.0
40206,521,28764,265736,4189189,2,0,137,6,0.02,0.02,0.96,0.04,0.0,eqc_low,0.96,0.96,0.04,0.0,coec_low,0.96
40207,521,28764,265727,4189575,2,0,429,26,0.44,0.15,0.07,0.9,0.03,eqc_mid,0.9,0.67,0.33,0.0,coec_low,0.67
40208,521,28764,265627,4188346,2,0,355,32,0.02,0.02,0.96,0.04,0.0,eqc_low,0.96,0.96,0.04,0.0,coec_low,0.96
40209,521,46475,471083,8196035,2,0,54,3,0.7,0.0,0.0,0.6,0.4,eqc_mid,0.6,1.0,0.0,0.0,coec_low,1.0
